EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceSatisfactionIndex,ExperiencePriorToCurrentJob,EmployeeEngagementScore,DistanceFromHomeCategory,AgeGeneration,EducationDegree
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,1,80,0,4,7,11,10,Medium,Junior,Good,Short Distance,Millennials,Doctoral Degree
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,80,1,4,2,1,2,Low,Senior,Good,Short Distance,Gen X,Associate Degree
19,25,0.0,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,4,Male,77,2,Manufacturing Director,3,Divorced,5206,4973,1,Y,No,17,3,80,2,6,7,0,7,High,Junior,Better,Short Distance,Gen Z,High School
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,5,Manager,3,Married,18711,12124,2,Y,No,13,3,80,1,2,0,0,0,Medium,Expert,Better,Short Distance,Gen Y,Associate Degree
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,2,80,2,3,5,1,4,Medium,Junior,Better,Long Distance,Gen Z,Bachelor Degree
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,80,0,3,6,5,13,Medium,Junior,Better,Short Distance,Millennials,Bachelor Degree
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,4,80,0,3,3,1,10,Very High,Junior,Better,Short Distance,Gen Y,Associate Degree
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,4,80,0,2,12,11,9,High,Junior,Good,Short Distance,Millennials,Associate Degree
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,1,80,1,2,0,2,0,Medium,Junior,Good,Short Distance,Gen Z,Bachelor Degree
26,49,0.0,Travel_Rarely,722,Research & Development,25,4,Life Sciences,1,3,Female,84,1,Laboratory Technician,1,Married,3211,22102,1,Y,No,14,4,80,1,3,6,1,4,Medium,Junior,Good,Long Distance,Gen Y,Doctoral Degree
27,24,0.0,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,3,Male,57,1,Laboratory Technician,1,Divorced,2296,10036,0,Y,No,14,2,80,3,3,1,0,0,Medium,Junior,Good,Long Distance,Gen Z,Associate Degree
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,4,80,2,4,9,15,2,High,Junior,Good,Medium Distance,Millennials,Doctoral Degree
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,1,Human Resources,3,Married,2267,25657,8,Y,No,17,4,80,0,2,2,2,2,High,Junior,Good,Short Distance,Gen X,Associate Degree
30,47,0.0,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,1,4,Female,98,5,Manager,3,Married,19658,5220,3,Y,No,11,3,80,1,2,2,1,0,High,Expert,Better,Long Distance,Gen Y,Doctoral Degree
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,1,80,1,2,8,4,11,Medium,Junior,Good,Medium Distance,Millennials,High School
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,1,80,3,4,7,8,9,Medium,Junior,Good,Short Distance,Gen Z,Doctoral Degree
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,1,Human Resources,3,Married,2844,6004,1,Y,No,13,4,80,1,2,6,5,0,High,Junior,Better,Short Distance,Millennials,Bachelor Degree
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,4,80,1,3,2,1,2,Medium,Junior,Better,Short Distance,Gen Z,Bachelor Degree
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,2,80,1,2,2,2,2,High,Junior,Good,Short Distance,Millennials,Doctoral Degree
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,2,80,0,6,0,0,0,High,Mid-level,Better,Short Distance,Millennials,Master Degree
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,2,80,1,3,8,7,8,Medium,Junior,Better,Short Distance,Millennials,Bachelor Degree
38,43,0.0,Travel_Rarely,990,Research & Development,27,3,Technical Degree,1,4,Male,87,1,Laboratory Technician,2,Divorced,4876,5855,5,Y,No,12,3,80,1,0,4,0,2,High,Junior,Better,Long Distance,Gen Y,Bachelor Degree
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,2,80,0,3,4,0,4,Medium,Junior,Better,Short Distance,Gen Z,Bachelor Degree
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,2,80,0,3,7,7,7,Medium,Junior,Good,Short Distance,Millennials,Doctoral Degree
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,1,Sales Representative,2,Married,3875,9983,7,Y,No,15,4,80,1,2,2,2,2,High,Junior,Better,Short Distance,Gen Y,Doctoral Degree
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,1,80,3,5,10,3,7,Medium,Junior,Better,Short Distance,Millennials,Bachelor Degree
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,80,1,5,4,0,3,Medium,Junior,Better,Medium Distance,Millennials,Bachelor Degree
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,4,80,1,3,8,5,3,Medium,Junior,Better,Short Distance,Millennials,Associate Degree
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,3,80,1,0,1,0,0,Medium,Junior,Better,Long Distance,Gen Z,Bachelor Degree
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,1,80,3,3,10,10,8,Medium,Junior,Good,Short Distance,Gen Z,Bachelor Degree
47,38,0.0,Travel_Rarely,345,Sales,10,2,Life Sciences,1,1,Female,100,2,Sales Executive,4,Married,5343,5982,1,Y,No,11,3,80,1,1,7,1,9,Medium,Junior,Better,Short Distance,Millennials,Associate Degree
48,30,0.0,Travel_Rarely,330,Human Resources,1,3,Life Sciences,1,3,Male,46,1,Human Resources,3,Divorced,2064,15428,0,Y,No,21,1,80,1,3,3,1,3,Medium,Junior,Better,Short Distance,Gen Z,Bachelor Degree
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,2,80,0,2,7,1,8,High,Junior,Better,Long Distance,Millennials,Bachelor Degree
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,80,0,2,2,1,2,High,Junior,Better,Long Distance,Gen Z,High School
51,35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,Manufacturing Director,3,Single,10221,18869,3,Y,No,21,2,80,0,3,5,1,6,Medium,Mid-level,Better,Short Distance,Millennials,Bachelor Degree
52,50,0.0,Travel_Rarely,264,Sales,9,3,Marketing,1,3,Male,59,5,Manager,3,Married,19331,19519,4,Y,Yes,16,3,80,1,2,0,0,0,High,Expert,Better,Short Distance,Gen Y,Bachelor Degree
53,34,0.0,Travel_Frequently,426,Research & Development,10,4,Life Sciences,1,3,Male,42,2,Manufacturing Director,4,Divorced,4724,17000,1,Y,No,13,1,80,1,3,7,7,2,Medium,Junior,Better,Short Distance,Millennials,Doctoral Degree
54,26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,1,80,1,6,5,1,4,Medium,Junior,Good,Short Distance,Gen Z,Bachelor Degree
55,31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,1,Laboratory Technician,4,Married,3722,21081,6,Y,Yes,13,3,80,1,2,2,2,2,High,Junior,Good,Short Distance,Millennials,Bachelor Degree
56,30,0.0,Travel_Rarely,241,Research & Development,7,3,Medical,1,2,Male,48,1,Research Scientist,2,Married,2141,5348,1,Y,No,12,2,80,1,3,4,1,1,Medium,Junior,Good,Short Distance,Gen Z,Bachelor Degree
57,32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,75,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,80,1,4,0,0,7,Medium,Junior,Better,Short Distance,Millennials,Bachelor Degree
58,32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,55,2,Sales Executive,4,Single,5396,21703,1,Y,No,12,4,80,0,2,7,0,8,Very High,Junior,Good,Short Distance,Millennials,Bachelor Degree
59,34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,80,1,3,3,5,7,High,Mid-level,Good,Short Distance,Millennials,Doctoral Degree
60,33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,74,3,Manager,2,Married,11878,23364,6,Y,No,11,2,80,2,2,6,8,8,Medium,Junior,Better,Short Distance,Millennials,Doctoral Degree
61,47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,80,3,2,0,0,4,Medium,Senior,Better,Short Distance,Gen Y,Associate Degree
62,35,0.0,Travel_Rarely,660,Sales,7,1,Life Sciences,1,4,Male,76,1,Sales Representative,3,Married,2404,16192,1,Y,No,13,1,80,1,3,0,0,0,Medium,Junior,Better,Short Distance,Millennials,High School
63,30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,38,1,Laboratory Technician,3,Married,3833,24375,3,Y,No,21,3,80,2,2,2,0,2,High,Junior,Good,Short Distance,Gen Z,Bachelor Degree
64,58,0.0,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,1,Research Scientist,2,Married,3346,11873,4,Y,Yes,20,2,80,1,3,0,0,0,Medium,Mid-level,Good,Short Distance,Gen X,Bachelor Degree
65,37,1.0,Travel_Rarely,625,Sales,1,4,Life Sciences,1,1,Male,46,3,Sales Executive,3,Married,10609,14922,5,Y,No,11,3,80,0,2,1,11,7,Medium,Junior,Good,Short Distance,Millennials,Doctoral Degree
66,45,0.0,Travel_Rarely,1005,Research & Development,28,2,Technical Degree,1,4,Female,48,4,Research Director,2,Single,16704,17119,1,Y,No,11,3,80,0,2,6,8,6,High,Junior,Good,Long Distance,Gen Y,Associate Degree
67,52,0.0,Non-Travel,585,Sales,29,4,Life Sciences,1,1,Male,40,1,Sales Representative,4,Divorced,3482,19788,2,Y,No,15,2,80,2,3,8,0,0,Medium,Mid-level,Good,Long Distance,Gen X,Doctoral Degree
68,38,0.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,75,1,Laboratory Technician,4,Single,2288,6319,1,Y,No,12,3,80,0,3,2,2,1,High,Junior,Better,Short Distance,Millennials,Associate Degree
69,43,1.0,Travel_Rarely,1372,Sales,9,3,Marketing,1,1,Female,85,2,Sales Executive,3,Single,5346,9489,8,Y,No,13,2,80,0,2,3,1,3,Medium,Junior,Good,Short Distance,Gen Y,Bachelor Degree
70,27,0.0,Travel_Rarely,728,Sales,23,1,Medical,1,2,Female,36,2,Sales Representative,3,Married,3540,7018,1,Y,No,21,4,80,1,5,8,5,8,High,Junior,Better,Long Distance,Gen Z,High School
71,52,0.0,Travel_Frequently,322,Research & Development,28,2,Medical,1,4,Female,59,4,Manufacturing Director,3,Married,13247,9731,2,Y,Yes,11,2,80,1,3,3,0,2,High,Senior,Better,Long Distance,Gen X,Associate Degree
72,49,0.0,Travel_Rarely,271,Research & Development,3,2,Medical,1,3,Female,43,2,Laboratory Technician,1,Married,4789,23070,4,Y,No,25,1,80,1,3,2,1,2,Low,Mid-level,Better,Short Distance,Gen Y,Associate Degree
73,44,0.0,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,75,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,3,80,1,2,3,1,3,Medium,Junior,Better,Short Distance,Gen Y,Master Degree
74,59,0.0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,70,1,Research Scientist,4,Married,2177,8456,3,Y,No,17,1,80,1,6,0,0,0,Medium,Mid-level,Good,Short Distance,Gen X,Bachelor Degree
75,58,0.0,Travel_Rarely,605,Sales,21,3,Life Sciences,1,4,Female,72,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,80,1,2,0,0,0,High,Expert,Good,Long Distance,Gen X,Bachelor Degree
76,31,0.0,Travel_Rarely,471,Research & Development,4,3,Medical,1,1,Female,62,1,Laboratory Technician,3,Divorced,3978,16031,8,Y,No,12,2,80,1,0,2,2,2,Medium,Junior,Better,Short Distance,Millennials,Bachelor Degree
77,42,0.0,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,No,16,2,80,1,5,3,0,2,Medium,Mid-level,Better,Long Distance,Gen Y,Associate Degree
78,45,0.0,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,61,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,2,80,1,3,7,3,7,Medium,Junior,Better,Short Distance,Gen Y,Bachelor Degree
79,31,0.0,Travel_Rarely,1079,Sales,10,2,Medical,1,3,Female,86,2,Sales Executive,4,Divorced,6583,20115,2,Y,Yes,11,4,80,1,2,2,1,4,High,Junior,Better,Short Distance,Millennials,Associate Degree
80,34,0.0,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,1,4,Female,66,2,Research Scientist,2,Divorced,5433,19332,1,Y,No,12,3,80,1,2,8,7,9,High,Junior,Better,Short Distance,Millennials,Bachelor Degree
81,21,1.0,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,65,1,Research Scientist,4,Single,2693,8870,1,Y,No,19,1,80,0,3,0,0,0,High,Junior,Good,Medium Distance,Gen Z,High School
82,23,0.0,Travel_Rarely,885,Research & Development,4,3,Medical,1,1,Male,58,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,1,80,1,3,2,0,2,Low,Junior,Better,Short Distance,Gen Z,Bachelor Degree
83,47,0.0,Travel_Rarely,207,Research & Development,9,4,Life Sciences,1,2,Female,64,1,Laboratory Technician,3,Single,2105,5411,4,Y,No,12,3,80,0,2,2,2,0,Medium,Junior,Better,Short Distance,Gen Y,Doctoral Degree
84,54,0.0,Travel_Rarely,1147,Sales,3,3,Marketing,1,4,Female,52,2,Sales Executive,1,Married,5940,17011,2,Y,No,14,4,80,1,4,2,0,5,High,Mid-level,Better,Short Distance,Gen X,Bachelor Degree
85,41,0.0,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,2,Female,43,1,Research Scientist,3,Married,3376,18863,1,Y,No,13,3,80,0,3,6,0,8,Medium,Junior,Better,Short Distance,Gen Y,Associate Degree
86,45,0.0,Travel_Rarely,1038,Research & Development,20,3,Medical,1,2,Male,95,3,Healthcare Representative,1,Divorced,10851,19863,2,Y,Yes,18,2,80,1,2,7,0,7,Low,Senior,Good,Medium Distance,Gen Y,Bachelor Degree
87,36,0.0,Travel_Rarely,1120,Sales,11,4,Marketing,1,2,Female,100,2,Sales Executive,4,Married,6652,14369,4,Y,No,13,1,80,1,2,3,0,0,Medium,Junior,Good,Medium Distance,Millennials,Doctoral Degree
88,45,0.0,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,57,3,Sales Executive,4,Single,8865,16840,6,Y,No,12,4,80,0,2,7,12,8,Very High,Junior,Good,Short Distance,Gen Y,Bachelor Degree
89,46,0.0,Travel_Rarely,1254,Sales,10,3,Life Sciences,1,3,Female,64,3,Sales Executive,2,Married,7314,14011,5,Y,No,21,3,80,3,2,7,0,7,Medium,Mid-level,Better,Short Distance,Gen Y,Bachelor Degree
90,42,0.0,Travel_Rarely,419,Sales,12,4,Marketing,1,2,Male,77,2,Sales Executive,4,Divorced,5087,2900,3,Y,Yes,12,3,80,2,4,0,0,0,High,Senior,Better,Medium Distance,Gen Y,Doctoral Degree
91,34,0.0,Travel_Rarely,1157,Research & Development,5,2,Medical,1,2,Male,57,2,Laboratory Technician,4,Married,3986,11912,1,Y,No,14,3,80,1,3,10,4,13,High,Junior,Better,Short Distance,Millennials,Associate Degree
92,37,0.0,Travel_Rarely,783,Research & Development,7,4,Medical,1,4,Male,78,2,Research Scientist,1,Married,4284,13588,5,Y,Yes,22,3,80,1,2,3,0,4,Medium,Senior,Better,Short Distance,Millennials,Doctoral Degree
93,55,0.0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,1,Male,70,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,4,80,1,4,0,1,0,High,Expert,Better,Short Distance,Gen X,Associate Degree
94,22,0.0,Non-Travel,457,Research & Development,26,2,Other,1,2,Female,85,1,Research Scientist,3,Married,2814,10293,1,Y,Yes,14,2,80,0,2,2,1,3,Medium,Junior,Good,Long Distance,Gen Z,Associate Degree
95,34,0.0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,4,Male,45,2,Manufacturing Director,3,Married,9547,14074,1,Y,No,17,3,80,0,2,9,1,9,High,Junior,Good,Short Distance,Millennials,High School
96,29,0.0,Travel_Rarely,136,Research & Development,1,3,Life Sciences,1,1,Male,89,2,Healthcare Representative,1,Married,5373,6225,0,Y,No,12,1,80,1,5,3,0,2,Low,Junior,Good,Short Distance,Gen Z,Bachelor Degree
97,57,0.0,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,2,Male,93,2,Research Scientist,3,Married,4900,2721,0,Y,No,24,1,80,1,2,9,2,8,Medium,Junior,Better,Short Distance,Gen X,Associate Degree
98,53,0.0,Travel_Rarely,1168,Sales,24,4,Life Sciences,1,1,Male,66,3,Sales Executive,1,Single,10448,5843,6,Y,Yes,13,2,80,0,2,2,2,2,Low,Senior,Good,Long Distance,Gen X,Doctoral Degree
99,33,0.0,Travel_Rarely,147,Research & Development,4,4,Medical,1,3,Female,47,1,Research Scientist,2,Married,2622,13248,6,Y,No,21,4,80,0,3,2,1,1,High,Junior,Better,Short Distance,Millennials,Doctoral Degree
100,32,0.0,Non-Travel,300,Research & Development,1,3,Life Sciences,1,4,Male,61,1,Laboratory Technician,4,Divorced,2314,9148,0,Y,No,12,2,80,1,2,0,0,2,High,Junior,Better,Short Distance,Millennials,Bachelor Degree
101,21,1.0,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1,Female,45,1,Laboratory Technician,3,Single,2625,25308,1,Y,No,20,3,80,0,2,2,2,2,Medium,Junior,Good,Short Distance,Gen Z,Associate Degree
102,34,1.0,Travel_Frequently,296,Sales,6,2,Marketing,1,4,Female,33,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,4,80,1,3,2,1,0,High,Junior,Good,Short Distance,Millennials,Associate Degree
103,55,0.0,Travel_Rarely,1441,Research & Development,22,3,Technical Degree,1,1,Male,94,1,Research Scientist,2,Divorced,3537,23737,5,Y,No,12,4,80,1,1,2,1,2,Medium,Junior,Good,Long Distance,Gen X,Bachelor Degree
104,27,0.0,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,4,Female,90,2,Sales Executive,3,Single,9981,12916,1,Y,No,14,4,80,0,2,7,0,7,High,Junior,Better,Medium Distance,Gen Z,Bachelor Degree
105,46,0.0,Travel_Rarely,1319,Sales,3,3,Technical Degree,1,1,Female,45,4,Sales Executive,1,Divorced,13225,7739,2,Y,No,12,4,80,1,5,17,2,8,Medium,Mid-level,Better,Short Distance,Gen Y,Bachelor Degree
106,36,0.0,Travel_Rarely,917,Research & Development,6,4,Life Sciences,1,3,Male,60,1,Laboratory Technician,3,Divorced,2741,6865,1,Y,No,14,3,80,1,4,7,1,7,High,Junior,Good,Short Distance,Millennials,Doctoral Degree
107,41,1.0,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,2,Female,49,5,Research Director,3,Married,19545,16280,1,Y,No,12,4,80,0,0,15,15,8,High,Junior,Better,Medium Distance,Gen Y,Bachelor Degree
108,38,0.0,Travel_Frequently,1189,Research & Development,1,3,Life Sciences,1,4,Male,90,2,Research Scientist,4,Married,4735,9867,7,Y,No,15,4,80,2,4,11,2,9,Very High,Mid-level,Better,Short Distance,Millennials,Bachelor Degree
109,33,0.0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,1,3,Male,30,2,Healthcare Representative,4,Divorced,7725,5335,3,Y,No,23,3,80,1,2,11,4,7,High,Junior,Good,Short Distance,Millennials,Bachelor Degree
110,18,1.0,Non-Travel,247,Research & Development,8,1,Medical,1,3,Male,80,1,Laboratory Technician,3,Single,1904,13556,1,Y,No,12,4,80,0,0,0,0,0,High,Junior,Better,Short Distance,Gen Z,High School
111,27,0.0,Travel_Rarely,894,Research & Development,9,3,Medical,1,4,Female,99,1,Research Scientist,2,Single,2279,11781,1,Y,No,16,4,80,0,2,7,0,3,High,Junior,Good,Short Distance,Gen Z,Bachelor Degree
112,22,0.0,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,4,Male,33,2,Manufacturing Director,4,Married,4775,19146,6,Y,No,22,1,80,2,2,2,2,2,High,Junior,Good,Short Distance,Gen Z,Associate Degree
113,33,1.0,Travel_Rarely,813,Research & Development,14,3,Medical,1,3,Male,58,1,Laboratory Technician,4,Married,2436,22149,5,Y,Yes,13,3,80,1,2,4,0,4,High,Junior,Good,Medium Distance,Millennials,Bachelor Degree
114,42,0.0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,4,Female,88,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,4,80,3,4,5,0,4,Very High,Junior,Better,Long Distance,Gen Y,Doctoral Degree
